Date,Education,Experience,Sector,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12
Timestamp,Please select your education level.,Please enter your approximate number of years in professional archaeology.,"Please select your current or previous (if retired, etc.) employment.","Do you currently use an online service for the dissemination or hosting of archaeological data (such as Open Context, TDAR, etc.)?","If yes, do you pay for these services?",What is your opinion on the price of these services?,Are you willing to pay for these services?,Do you feel archaeologists have a responsibility to share data in a public format?,Who should provide the funds to digitally host archaeological data?,What information do you think should be shared online with access restrictions?,What information do you think should be shared online without access restrictions?,What information should never be hosted online?,What information should never be available online?,Should data standards be adopted in archaeology  for comparative purposes and ease of use?,Please enter any additional opinions or comments you are willing to share regarding this topic.
9/23/2016 12:35,Master's,11,Government,Yes,No,No opinion,Yes,Yes,"Federal, state, and local governments",Site Location,"Artifact Analysis, Architectural Details",Burial Data,Anything the Tribes call sacred or ceremonial,Yes,
9/23/2016 12:45,PhD,40,Government,Yes,Yes,Reasonable,Yes,Yes,"cost should be shared by govt, proponents and users, depending on services required","Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",,,"yes, but not to the extent that they inhibit sharing of data",
9/23/2016 13:01,PhD,12,Private/CRM,Yes,No,Reasonable,Yes,Yes,Private for-profit entities,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",,I say put it all up. The tribes will probably never put their data online though. ,Yes,tDAR rules. 
9/23/2016 13:55,Master's,20,Private/CRM,Yes,Yes,Reasonable,Yes,Yes,Mix of Public (Federal and State) and Private Funds,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",None,None,Yes,
9/23/2016 14:10,PhD,10,Non-profit,No,No,No opinion,Yes,Yes,State or local governments,"Site Location, Burial Data, Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details",none,None,Yes,
9/23/2016 14:31,PhD,58,Academic/Research Institution,No,No,No opinion,No,Yes,"Entity that funded the archae  ological resea rch, including NSF, as well as agencies mandating NHPA compliance ","Site Location, Burial Data","Artifact Analysis, Architectural Details, Contextual information",Site Location,,Just make the data available; we can decide how to re-group it if necessary,"Not sure exactly what you are after here.  I don't post data on tDAR, but I use data from tDAR.  I post unpublished theses, reports, meeting presentations, etc. on a web site maintained by my university library, at no cost to me.  We delete site locational data from reports before they are posted.  As for costs of posting data on other public platforms, my willingness to pay for this would depend on the cost level."
9/23/2016 16:00,PhD,9,Academic/Research Institution,No,,No opinion,No,Yes,The Federal government,"Site Location, Burial Data, Artifact Analysis, Architectural Details",,,,Yes,
9/23/2016 20:59,Master's,25,Government,No,,,,No,,"Artifact Analysis, Architectural Details","Artifact Analysis, Architectural Details","Site Location, Burial Data",,,
9/23/2016 23:10,PhD,40,retired,No,,,,Yes,The Federal government,Site Location,"Burial Data, Artifact Analysis, Architectural Details",,,No,
