Q7,Site Location,Burial Data,Artifact Analysis,Architectural Details,Other,NA
Site Location,1,,,,,
"Burial Data, Artifact Analysis, Architectural Details",,1,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Burial Data",1,1,,,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
Site Location,1,,,,,
"Site Location, Artifact Analysis, Architectural Details",1,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Artifact Analysis, Architectural Details, General Syntheses",,,1,1,1,
"Artifact Analysis, Architectural Details",,,1,1,,
"Site Location, Burial Data",1,1,,,,
"Site Location, Artifact Analysis, Architectural Details",1,1,,1,,
NA,,,,,,1
"Site Location, Artifact Analysis, Architectural Details, sruvey location and date completed",1,1,1,,1,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
Hard to say. Depends on the access restrictions.,,,,,,
Burial Data,,1,,,,
"Site Location, Burial Data",1,1,,,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Site Location, Burial Data",1,1,,,,
NA,,,,,,1
"Site Location, Burial Data, Artifact Analysis, Architectural Details, any supplemental data from articles, reports, etc.",1,1,1,1,1,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Artifact Analysis, Architectural Details",1,,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Burial Data",1,1,,,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
Site Location,1,,,,,
Artifact Analysis,,,1,,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Artifact Analysis, Architectural Details, chronometric data",1,,1,1,1,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Artifact Analysis, Architectural Details",1,,1,1,,
"Site Location, Burial Data",1,1,,,,
"Site Location, Artifact Analysis, Architectural Details, Site type, eligibility",1,1,1,1,1,
"Site Location, Artifact Analysis, Architectural Details",1,,1,1,,
Site Location,1,,,,,
"Site Location, Burial Data",1,1,,,,
Site Location,1,,,,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
Land ownership,,,,,1,
"Artifact Analysis, Architectural Details",,,1,1,,
"Site Location, Burial Data",1,1,,,,
"All, with access restrictions",1,1,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Burial Data",1,1,,,,
Site Location,1,,,,,
"Site Location, Burial Data, traditional cultural properties/funerary objects, etc.",1,1,,,1,
"Site Location, Burial Data",1,1,,,,
"Site Location, Artifact Analysis, Architectural Details",1,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
Site Location,1,,,,,
Site Location,1,,,,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details, Report, redacted",1,1,1,1,1,
"With adequate access controls, any data might be shared on line.",1,1,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Site Location, Burial Data",1,1,,,,
,,,,,,
"Site Location, Burial Data",1,1,,,,
"Site Location, Artifact Analysis, Architectural Details",1,,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
