Q8,Site Location,Burial Data,Artifact Analysis,Architectural Details,Other,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details, Contextual information",,,1,1,1,Reports
,,,,,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Burial Data, Artifact Analysis, Architectural Details",,1,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
NA,,,,,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Site Location, Burial Data",1,1,,,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details, General data such as subsistence",,,1,1,1,Reports
"Artifact Analysis, Architectural Details",,,1,1,,
"Site Location, Burial Data, Artifact Analysis, Architectural Details",1,1,1,1,,
NA,,,,,,
Architectural Details,,,,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
Architectural Details,,,,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Burial Data, Artifact Analysis, Architectural Details",,1,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
NA,,,,,,
"Artifact Analysis, Architectural Details",,,1,1,,
NA,,,,,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Architectural Details, Sites intended for public visitation.",,,,1,1,Public Site Location
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
Site Location,1,,,,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details, Faunal analysis, interpretation, conclusions, ideas for future investigations ",,,1,1,1,Reports
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details, all non sensitive data, results, analyses, and reports",,,1,1,1,Reports
"Artifact Analysis, Architectural Details, Ssite desc., all analysis",,,1,1,1,Reports
"Artifact Analysis, Architectural Details",,,1,1,,
"Burial Data, Artifact Analysis, Architectural Details",,1,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Burial Data, Artifact Analysis, Architectural Details",,1,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details, Report",,,1,1,1,Reports
"Burial Data, Artifact Analysis, Architectural Details, Most kinds of data",,1,1,1,,
"Artifact Analysis, Architectural Details, Non-site specific topics",,,1,1,,Non-site specific topics
"Artifact Analysis, Architectural Details, site investigation history",,,1,1,,site investigation history
,,,,,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Artifact Analysis, Architectural Details",,,1,1,,
"Burial Data, Artifact Analysis, Architectural Details",,1,1,1,,
